,cov,sleep
297,1.0,0.05
298,1.0,0.04
299,1.0,0.07
300,1.0,0.07
301,1.0,0.06
302,1.0,0.04
303,1.0,0.06
304,0.9998999834060669,0.08
305,1.0,0.07
306,1.0,0.07
307,1.0,0.07
308,1.0,0.06
309,1.0,0.06
310,1.0,0.06
311,1.0,0.06
312,0.9990997910499573,0.05
313,1.0,0.04
314,1.0,0.07
315,1.0,0.06
316,1.0,0.04
317,1.0,0.05
318,1.0,0.03
319,1.0,0.04
320,1.0,0.03
321,1.0,0.06
322,1.0,0.06
323,1.0,0.05
324,0.9998999834060669,0.04
325,1.0,0.05
326,0.9996999502182007,0.03
327,1.0,0.03
328,1.0,0.05
329,0.9998999834060669,0.04
330,1.0,0.05
331,1.0,0.04
332,1.0,0.09
333,1.0,0.05
334,1.0,0.04
335,1.0,0.03
336,1.0,0.04
337,1.0,0.05
338,0.9977995753288269,0.06
339,1.0,0.03
340,1.0,0.1
341,1.0,0.06
342,0.9998999834060669,0.09
343,1.0,0.05
344,1.0,0.07
345,1.0,0.05
346,1.0,0.06
347,1.0,0.09
348,1.0,0.05
349,1.0,0.04
350,1.0,0.05
351,1.0,0.03
352,1.0,0.03
353,1.0,0.05
354,0.9977995753288269,0.07
355,1.0,0.08
356,1.0,0.04
357,1.0,0.05
358,1.0,0.05
359,1.0,0.06
360,1.0,0.06
361,1.0,0.05
362,1.0,0.04
363,0.9998999834060669,0.04
364,0.9996999502182007,0.06
365,1.0,0.04
366,0.9998999834060669,0.05
367,0.9990997910499573,0.06
368,1.0,0.06
369,1.0,0.04
370,1.0,0.03
371,1.0,0.07
372,1.0,0.05
373,1.0,0.05
374,1.0,0.05
375,1.0,0.06
376,1.0,0.05
377,1.0,0.04
378,1.0,0.05
379,0.9998999834060669,0.05
380,1.0,0.07
381,0.9996999502182007,0.05
382,1.0,0.03
383,1.0,0.07
384,1.0,0.05
385,1.0,0.05
386,0.9998999834060669,0.03
387,1.0,0.05
388,1.0,0.05
389,1.0,0.05
390,1.0,0.07
391,1.0,0.03
392,1.0,0.03
393,1.0,0.04
394,0.9998999834060669,0.03
395,1.0,0.03
396,1.0,0.06
397,0.9996999502182007,0.04
398,1.0,0.05
399,1.0,0.06
400,1.0,0.05
401,1.0,0.07
402,1.0,0.06
403,1.0,0.04
404,1.0,0.08
405,1.0,0.03
406,1.0,0.06
407,1.0,0.04
408,1.0,0.06
409,1.0,0.04
410,1.0,0.04
411,1.0,0.05
412,0.9998999834060669,0.06
413,1.0,0.05
414,1.0,0.07
415,1.0,0.09
416,1.0,0.04
417,1.0,0.05
418,1.0,0.05
419,1.0,0.05
420,1.0,0.04
421,1.0,0.04
422,1.0,0.06
423,1.0,0.04
424,1.0,0.04
425,1.0,0.08
426,0.9998999834060669,0.08
427,1.0,0.04
428,1.0,0.04
429,1.0,0.02
430,1.0,0.06
431,1.0,0.05
432,1.0,0.04
433,1.0,0.03
434,0.9998999834060669,0.07
435,1.0,0.04
436,1.0,0.06
437,1.0,0.05
438,1.0,0.05
439,1.0,0.04
440,1.0,0.03
441,1.0,0.07
442,1.0,0.04
443,1.0,0.05
444,1.0,0.03
445,1.0,0.06
446,1.0,0.08
447,1.0,0.07
448,0.9998999834060669,0.06
449,0.9998999834060669,0.05
450,1.0,0.06
451,1.0,0.08
452,1.0,0.04
453,0.9998999834060669,0.05
454,0.9996999502182007,0.07
455,1.0,0.08
456,1.0,0.07
457,1.0,0.05
458,1.0,0.06
459,1.0,0.05
460,0.9993999004364014,0.07
461,1.0,0.06
462,1.0,0.05
463,1.0,0.08
464,0.9996999502182007,0.08
465,1.0,0.03
466,1.0,0.09
467,1.0,0.05
468,1.0,0.08
469,1.0,0.05
470,1.0,0.07
471,1.0,0.06
472,1.0,0.1
473,1.0,0.05
474,1.0,0.06
475,1.0,0.02
476,1.0,0.05
477,0.9976995587348938,0.07
478,1.0,0.07
479,1.0,0.05
480,1.0,0.05
481,1.0,0.03
482,0.9998999834060669,0.07
483,1.0,0.04
484,0.9996999502182007,0.06
485,1.0,0.06
486,1.0,0.04
487,1.0,0.07
488,0.998799741268158,0.06
489,1.0,0.06
490,1.0,0.06
491,1.0,0.06
492,1.0,0.03
493,1.0,0.06
494,1.0,0.05
495,1.0,0.04
496,1.0,0.03
497,1.0,0.04
498,1.0,0.03
499,1.0,0.02
500,1.0,0.05
501,0.9998999834060669,0.07
502,1.0,0.05
503,1.0,0.07
504,1.0,0.06
505,1.0,0.05
506,1.0,0.06
507,1.0,0.03
508,1.0,0.05
509,1.0,0.06
510,1.0,0.07
511,0.9998999834060669,0.06
512,1.0,0.07
513,1.0,0.05
514,1.0,0.07
515,0.9977995753288269,0.06
516,1.0,0.05
517,0.9998999834060669,0.08
518,1.0,0.09
519,0.9998999834060669,0.04
520,1.0,0.03
521,1.0,0.08
522,1.0,0.06
523,0.9998999834060669,0.04
524,1.0,0.04
525,1.0,0.08
526,1.0,0.05
527,1.0,0.04
528,1.0,0.06
529,1.0,0.08
530,1.0,0.05
531,0.9998999834060669,0.05
532,0.9972994327545166,0.03
533,1.0,0.04
534,1.0,0.05
535,1.0,0.05
536,1.0,0.07
537,1.0,0.04
538,1.0,0.04
539,1.0,0.07
540,1.0,0.08
541,1.0,0.06
542,0.9990997910499573,0.06
543,1.0,0.03
544,1.0,0.07
545,1.0,0.05
546,1.0,0.07
547,1.0,0.06
548,0.9990997910499573,0.07
549,1.0,0.02
550,1.0,0.06
551,1.0,0.04
552,1.0,0.06
553,1.0,0.05
554,1.0,0.02
555,0.9998999834060669,0.04
556,1.0,0.04
557,1.0,0.03
558,1.0,0.02
559,1.0,0.04
560,1.0,0.05
561,1.0,0.05
562,1.0,0.05
563,0.9998999834060669,0.02
564,0.9998999834060669,0.06
565,1.0,0.02
566,1.0,0.06
567,1.0,0.07
568,0.9998999834060669,0.05
569,1.0,0.07
570,1.0,0.04
571,1.0,0.06
572,1.0,0.07
573,0.9996999502182007,0.06
574,0.9977995753288269,0.03
575,0.9997999668121338,0.09
576,1.0,0.07
577,0.9995999336242676,0.08
578,1.0,0.04
579,1.0,0.09
580,1.0,0.06
581,1.0,0.04
582,1.0,0.05
583,1.0,0.05
584,1.0,0.04
585,1.0,0.05
586,1.0,0.06
587,1.0,0.04
588,1.0,0.03
589,0.9990997910499573,0.04
590,1.0,0.06
591,1.0,0.08
592,1.0,0.06
593,1.0,0.05
594,1.0,0.06
595,1.0,0.08
596,1.0,0.03
597,1.0,0.05
598,1.0,0.06
599,1.0,0.08
600,1.0,0.07
601,1.0,0.04
602,1.0,0.06
603,1.0,0.07
604,0.9998999834060669,0.09
605,1.0,0.08
606,1.0,0.06
607,0.9998999834060669,0.06
608,1.0,0.04
609,1.0,0.06
610,1.0,0.04
611,1.0,0.04
612,1.0,0.06
613,1.0,0.06
614,1.0,0.03
